Best Validation IoU: 0.2609
Total Training Time: 1209.20 seconds
Epoch 1: Train Loss=2.5372, Val Loss=1.3848, Train IoU=0.0353, Val IoU=0.0349
Epoch 2: Train Loss=2.2460, Val Loss=1.3182, Train IoU=0.0359, Val IoU=0.0362
Epoch 3: Train Loss=2.1227, Val Loss=1.3341, Train IoU=0.0410, Val IoU=0.0354
Epoch 4: Train Loss=2.0831, Val Loss=1.2049, Train IoU=0.0431, Val IoU=0.0461
Epoch 5: Train Loss=2.0282, Val Loss=1.3030, Train IoU=0.0468, Val IoU=0.0466
Epoch 6: Train Loss=1.9784, Val Loss=1.2327, Train IoU=0.0474, Val IoU=0.0408
Epoch 7: Train Loss=1.9660, Val Loss=1.2435, Train IoU=0.0509, Val IoU=0.0465
Epoch 8: Train Loss=1.9203, Val Loss=1.1646, Train IoU=0.0538, Val IoU=0.0469
Epoch 9: Train Loss=1.8891, Val Loss=1.3355, Train IoU=0.0591, Val IoU=0.0513
Epoch 10: Train Loss=1.8616, Val Loss=1.1041, Train IoU=0.0617, Val IoU=0.0501
Epoch 11: Train Loss=1.8391, Val Loss=1.1651, Train IoU=0.0634, Val IoU=0.0602
Epoch 12: Train Loss=1.8162, Val Loss=1.2304, Train IoU=0.0680, Val IoU=0.0563
Epoch 13: Train Loss=1.8155, Val Loss=1.0468, Train IoU=0.0683, Val IoU=0.0738
Epoch 14: Train Loss=1.7495, Val Loss=1.0647, Train IoU=0.0759, Val IoU=0.0801
Epoch 15: Train Loss=1.7269, Val Loss=1.1373, Train IoU=0.0810, Val IoU=0.0638
Epoch 16: Train Loss=1.7202, Val Loss=1.0222, Train IoU=0.0787, Val IoU=0.0738
Epoch 17: Train Loss=1.6969, Val Loss=1.0296, Train IoU=0.0811, Val IoU=0.0828
Epoch 18: Train Loss=1.6903, Val Loss=1.1148, Train IoU=0.0834, Val IoU=0.0708
Epoch 19: Train Loss=1.6744, Val Loss=0.9896, Train IoU=0.0938, Val IoU=0.0917
Epoch 20: Train Loss=1.6453, Val Loss=1.0577, Train IoU=0.0905, Val IoU=0.0757
Epoch 21: Train Loss=1.6420, Val Loss=1.0968, Train IoU=0.0891, Val IoU=0.0796
Epoch 22: Train Loss=1.6126, Val Loss=1.0384, Train IoU=0.1001, Val IoU=0.0898
Epoch 23: Train Loss=1.5853, Val Loss=1.0491, Train IoU=0.1028, Val IoU=0.0921
Epoch 24: Train Loss=1.5767, Val Loss=0.9896, Train IoU=0.1080, Val IoU=0.0970
Epoch 25: Train Loss=1.5498, Val Loss=0.9442, Train IoU=0.1170, Val IoU=0.1103
Epoch 26: Train Loss=1.5629, Val Loss=0.9265, Train IoU=0.1106, Val IoU=0.1294
Epoch 27: Train Loss=1.5391, Val Loss=0.9854, Train IoU=0.1189, Val IoU=0.1065
Epoch 28: Train Loss=1.5323, Val Loss=1.0356, Train IoU=0.1206, Val IoU=0.1114
Epoch 29: Train Loss=1.5102, Val Loss=0.9545, Train IoU=0.1242, Val IoU=0.1098
Epoch 30: Train Loss=1.4976, Val Loss=1.0058, Train IoU=0.1307, Val IoU=0.1100
Epoch 31: Train Loss=1.4889, Val Loss=1.0242, Train IoU=0.1210, Val IoU=0.1009
Epoch 32: Train Loss=1.4787, Val Loss=0.9497, Train IoU=0.1324, Val IoU=0.1232
Epoch 33: Train Loss=1.4506, Val Loss=0.9841, Train IoU=0.1460, Val IoU=0.1273
Epoch 34: Train Loss=1.4342, Val Loss=0.9220, Train IoU=0.1437, Val IoU=0.1284
Epoch 35: Train Loss=1.4279, Val Loss=0.9472, Train IoU=0.1491, Val IoU=0.1220
Epoch 36: Train Loss=1.3944, Val Loss=0.9959, Train IoU=0.1612, Val IoU=0.1227
Epoch 37: Train Loss=1.4254, Val Loss=0.9907, Train IoU=0.1574, Val IoU=0.1147
Epoch 38: Train Loss=1.4006, Val Loss=0.9344, Train IoU=0.1508, Val IoU=0.1283
Epoch 39: Train Loss=1.3837, Val Loss=0.9826, Train IoU=0.1685, Val IoU=0.1425
Epoch 40: Train Loss=1.3796, Val Loss=0.9753, Train IoU=0.1618, Val IoU=0.1273
Epoch 41: Train Loss=1.3653, Val Loss=0.8892, Train IoU=0.1711, Val IoU=0.1640
Epoch 42: Train Loss=1.3647, Val Loss=0.9428, Train IoU=0.1752, Val IoU=0.1469
Epoch 43: Train Loss=1.3506, Val Loss=0.9241, Train IoU=0.1718, Val IoU=0.1596
Epoch 44: Train Loss=1.3058, Val Loss=0.9689, Train IoU=0.1845, Val IoU=0.1406
Epoch 45: Train Loss=1.3416, Val Loss=0.9396, Train IoU=0.1851, Val IoU=0.1473
Epoch 46: Train Loss=1.3132, Val Loss=0.9040, Train IoU=0.1907, Val IoU=0.1676
Epoch 47: Train Loss=1.3085, Val Loss=0.9488, Train IoU=0.1886, Val IoU=0.1501
Epoch 48: Train Loss=1.2877, Val Loss=0.8516, Train IoU=0.1968, Val IoU=0.1688
Epoch 49: Train Loss=1.2836, Val Loss=0.9226, Train IoU=0.1989, Val IoU=0.1550
Epoch 50: Train Loss=1.2773, Val Loss=1.0646, Train IoU=0.1974, Val IoU=0.1498
Epoch 51: Train Loss=1.2654, Val Loss=0.9775, Train IoU=0.2002, Val IoU=0.1553
Epoch 52: Train Loss=1.2656, Val Loss=0.8444, Train IoU=0.2009, Val IoU=0.1748
Epoch 53: Train Loss=1.2422, Val Loss=0.9740, Train IoU=0.2145, Val IoU=0.1345
Epoch 54: Train Loss=1.2284, Val Loss=0.8316, Train IoU=0.2208, Val IoU=0.1950
Epoch 55: Train Loss=1.2391, Val Loss=0.9151, Train IoU=0.2126, Val IoU=0.1557
Epoch 56: Train Loss=1.2082, Val Loss=0.8988, Train IoU=0.2257, Val IoU=0.1721
Epoch 57: Train Loss=1.2126, Val Loss=0.9284, Train IoU=0.2336, Val IoU=0.1633
Epoch 58: Train Loss=1.2056, Val Loss=0.9196, Train IoU=0.2318, Val IoU=0.1660
Epoch 59: Train Loss=1.1902, Val Loss=0.9013, Train IoU=0.2412, Val IoU=0.1871
Epoch 60: Train Loss=1.1763, Val Loss=0.8939, Train IoU=0.2466, Val IoU=0.1634
Epoch 61: Train Loss=1.1786, Val Loss=0.8595, Train IoU=0.2460, Val IoU=0.1793
Epoch 62: Train Loss=1.1548, Val Loss=0.8610, Train IoU=0.2549, Val IoU=0.1934
Epoch 63: Train Loss=1.1750, Val Loss=0.9156, Train IoU=0.2469, Val IoU=0.1837
Epoch 64: Train Loss=1.1323, Val Loss=0.8955, Train IoU=0.2632, Val IoU=0.1651
Epoch 65: Train Loss=1.1272, Val Loss=0.8778, Train IoU=0.2613, Val IoU=0.1910
Epoch 66: Train Loss=1.0242, Val Loss=0.7989, Train IoU=0.3092, Val IoU=0.2250
Epoch 67: Train Loss=0.9647, Val Loss=0.8055, Train IoU=0.3546, Val IoU=0.2257
Epoch 68: Train Loss=0.9574, Val Loss=0.7863, Train IoU=0.3543, Val IoU=0.2297
Epoch 69: Train Loss=0.9454, Val Loss=0.8097, Train IoU=0.3717, Val IoU=0.2317
Epoch 70: Train Loss=0.9322, Val Loss=0.8025, Train IoU=0.3816, Val IoU=0.2344
Epoch 71: Train Loss=0.9175, Val Loss=0.8107, Train IoU=0.3879, Val IoU=0.2239
Epoch 72: Train Loss=0.9049, Val Loss=0.7778, Train IoU=0.3870, Val IoU=0.2448
Epoch 73: Train Loss=0.9010, Val Loss=0.7962, Train IoU=0.3888, Val IoU=0.2401
Epoch 74: Train Loss=0.8908, Val Loss=0.8004, Train IoU=0.4079, Val IoU=0.2384
Epoch 75: Train Loss=0.9006, Val Loss=0.7929, Train IoU=0.4071, Val IoU=0.2349
Epoch 76: Train Loss=0.8928, Val Loss=0.8043, Train IoU=0.4066, Val IoU=0.2331
Epoch 77: Train Loss=0.8773, Val Loss=0.7812, Train IoU=0.4145, Val IoU=0.2420
Epoch 78: Train Loss=0.8747, Val Loss=0.7736, Train IoU=0.4067, Val IoU=0.2470
Epoch 79: Train Loss=0.8704, Val Loss=0.7995, Train IoU=0.4279, Val IoU=0.2453
Epoch 80: Train Loss=0.8591, Val Loss=0.8043, Train IoU=0.4293, Val IoU=0.2427
Epoch 81: Train Loss=0.8551, Val Loss=0.7801, Train IoU=0.4348, Val IoU=0.2515
Epoch 82: Train Loss=0.8499, Val Loss=0.8043, Train IoU=0.4282, Val IoU=0.2402
Epoch 83: Train Loss=0.8404, Val Loss=0.7986, Train IoU=0.4517, Val IoU=0.2370
Epoch 84: Train Loss=0.8435, Val Loss=0.8142, Train IoU=0.4517, Val IoU=0.2361
Epoch 85: Train Loss=0.8234, Val Loss=0.7957, Train IoU=0.4584, Val IoU=0.2439
Epoch 86: Train Loss=0.8258, Val Loss=0.7933, Train IoU=0.4529, Val IoU=0.2449
Epoch 87: Train Loss=0.8207, Val Loss=0.8049, Train IoU=0.4550, Val IoU=0.2404
Epoch 88: Train Loss=0.8244, Val Loss=0.7913, Train IoU=0.4609, Val IoU=0.2503
Epoch 89: Train Loss=0.8171, Val Loss=0.8055, Train IoU=0.4757, Val IoU=0.2424
Epoch 90: Train Loss=0.7941, Val Loss=0.7935, Train IoU=0.4859, Val IoU=0.2494
Epoch 91: Train Loss=0.7686, Val Loss=0.7931, Train IoU=0.5039, Val IoU=0.2486
Epoch 92: Train Loss=0.7790, Val Loss=0.7886, Train IoU=0.4909, Val IoU=0.2509
Epoch 93: Train Loss=0.7783, Val Loss=0.7910, Train IoU=0.5047, Val IoU=0.2525
Epoch 94: Train Loss=0.7679, Val Loss=0.7880, Train IoU=0.5156, Val IoU=0.2521
Epoch 95: Train Loss=0.7729, Val Loss=0.7948, Train IoU=0.5046, Val IoU=0.2529
Epoch 96: Train Loss=0.7658, Val Loss=0.8000, Train IoU=0.5139, Val IoU=0.2528
Epoch 97: Train Loss=0.7638, Val Loss=0.7924, Train IoU=0.5126, Val IoU=0.2579
Epoch 98: Train Loss=0.7600, Val Loss=0.7903, Train IoU=0.5112, Val IoU=0.2572
Epoch 99: Train Loss=0.7603, Val Loss=0.8029, Train IoU=0.5214, Val IoU=0.2548
Epoch 100: Train Loss=0.7643, Val Loss=0.7882, Train IoU=0.5131, Val IoU=0.2512
Epoch 101: Train Loss=0.7477, Val Loss=0.7871, Train IoU=0.5330, Val IoU=0.2558
Epoch 102: Train Loss=0.7535, Val Loss=0.7906, Train IoU=0.5263, Val IoU=0.2538
Epoch 103: Train Loss=0.7645, Val Loss=0.7976, Train IoU=0.5130, Val IoU=0.2545
Epoch 104: Train Loss=0.7540, Val Loss=0.7906, Train IoU=0.5230, Val IoU=0.2551
Epoch 105: Train Loss=0.7452, Val Loss=0.7954, Train IoU=0.5258, Val IoU=0.2548
Epoch 106: Train Loss=0.7463, Val Loss=0.7968, Train IoU=0.5346, Val IoU=0.2520
Epoch 107: Train Loss=0.7439, Val Loss=0.7815, Train IoU=0.5289, Val IoU=0.2573
Epoch 108: Train Loss=0.7426, Val Loss=0.7923, Train IoU=0.5340, Val IoU=0.2559
Epoch 109: Train Loss=0.7489, Val Loss=0.7919, Train IoU=0.5325, Val IoU=0.2537
Epoch 110: Train Loss=0.7481, Val Loss=0.7974, Train IoU=0.5296, Val IoU=0.2551
Epoch 111: Train Loss=0.7530, Val Loss=0.7918, Train IoU=0.5275, Val IoU=0.2561
Epoch 112: Train Loss=0.7484, Val Loss=0.7807, Train IoU=0.5254, Val IoU=0.2598
Epoch 113: Train Loss=0.7407, Val Loss=0.7862, Train IoU=0.5350, Val IoU=0.2571
Epoch 114: Train Loss=0.7469, Val Loss=0.7908, Train IoU=0.5257, Val IoU=0.2567
Epoch 115: Train Loss=0.7393, Val Loss=0.7865, Train IoU=0.5360, Val IoU=0.2591
Epoch 116: Train Loss=0.7515, Val Loss=0.7866, Train IoU=0.5293, Val IoU=0.2596
Epoch 117: Train Loss=0.7490, Val Loss=0.7954, Train IoU=0.5347, Val IoU=0.2561
Epoch 118: Train Loss=0.7389, Val Loss=0.8035, Train IoU=0.5287, Val IoU=0.2532
Epoch 119: Train Loss=0.7517, Val Loss=0.7991, Train IoU=0.5293, Val IoU=0.2531
Epoch 120: Train Loss=0.7462, Val Loss=0.7884, Train IoU=0.5344, Val IoU=0.2558
Epoch 121: Train Loss=0.7403, Val Loss=0.7781, Train IoU=0.5409, Val IoU=0.2609
Epoch 122: Train Loss=0.7438, Val Loss=0.8027, Train IoU=0.5340, Val IoU=0.2532
Epoch 123: Train Loss=0.7433, Val Loss=0.7805, Train IoU=0.5396, Val IoU=0.2604
Epoch 124: Train Loss=0.7424, Val Loss=0.7938, Train IoU=0.5349, Val IoU=0.2570
Epoch 125: Train Loss=0.7421, Val Loss=0.7952, Train IoU=0.5325, Val IoU=0.2573
Epoch 126: Train Loss=0.7443, Val Loss=0.7913, Train IoU=0.5363, Val IoU=0.2549
Epoch 127: Train Loss=0.7476, Val Loss=0.7869, Train IoU=0.5258, Val IoU=0.2578
Epoch 128: Train Loss=0.7430, Val Loss=0.7812, Train IoU=0.5339, Val IoU=0.2605
Epoch 129: Train Loss=0.7379, Val Loss=0.7912, Train IoU=0.5262, Val IoU=0.2562
Epoch 130: Train Loss=0.7421, Val Loss=0.7870, Train IoU=0.5331, Val IoU=0.2592
Epoch 131: Train Loss=0.7401, Val Loss=0.7966, Train IoU=0.5383, Val IoU=0.2555
Epoch 132: Train Loss=0.7418, Val Loss=0.7905, Train IoU=0.5350, Val IoU=0.2552
Epoch 133: Train Loss=0.7396, Val Loss=0.7864, Train IoU=0.5309, Val IoU=0.2595
Epoch 134: Train Loss=0.7567, Val Loss=0.7991, Train IoU=0.5253, Val IoU=0.2538
Epoch 135: Train Loss=0.7536, Val Loss=0.7828, Train IoU=0.5251, Val IoU=0.2574
Epoch 136: Train Loss=0.7411, Val Loss=0.7977, Train IoU=0.5347, Val IoU=0.2558
Epoch 137: Train Loss=0.7426, Val Loss=0.7940, Train IoU=0.5384, Val IoU=0.2557
Epoch 138: Train Loss=0.7393, Val Loss=0.7902, Train IoU=0.5332, Val IoU=0.2572
Epoch 139: Train Loss=0.7377, Val Loss=0.7933, Train IoU=0.5405, Val IoU=0.2555
Epoch 140: Train Loss=0.7414, Val Loss=0.7821, Train IoU=0.5344, Val IoU=0.2590
Epoch 141: Train Loss=0.7488, Val Loss=0.7918, Train IoU=0.5300, Val IoU=0.2590
Epoch 142: Train Loss=0.7498, Val Loss=0.7892, Train IoU=0.5230, Val IoU=0.2588
Epoch 143: Train Loss=0.7435, Val Loss=0.7828, Train IoU=0.5297, Val IoU=0.2577
Epoch 144: Train Loss=0.7460, Val Loss=0.7805, Train IoU=0.5334, Val IoU=0.2586
Epoch 145: Train Loss=0.7393, Val Loss=0.7875, Train IoU=0.5364, Val IoU=0.2575
Epoch 146: Train Loss=0.7414, Val Loss=0.7920, Train IoU=0.5326, Val IoU=0.2564
Epoch 147: Train Loss=0.7394, Val Loss=0.7884, Train IoU=0.5326, Val IoU=0.2569
Epoch 148: Train Loss=0.7460, Val Loss=0.7999, Train IoU=0.5250, Val IoU=0.2538
Epoch 149: Train Loss=0.7379, Val Loss=0.7968, Train IoU=0.5403, Val IoU=0.2553
Epoch 150: Train Loss=0.7429, Val Loss=0.7970, Train IoU=0.5287, Val IoU=0.2544
