Best Validation IoU: 0.2389
Total Training Time: 1024.68 seconds
Epoch 1: Train Loss=1.1684, Val Loss=1.2447, Train IoU=0.0355, Val IoU=0.0349
Epoch 2: Train Loss=1.0454, Val Loss=1.2298, Train IoU=0.0355, Val IoU=0.0353
Epoch 3: Train Loss=1.0164, Val Loss=1.1957, Train IoU=0.0358, Val IoU=0.0357
Epoch 4: Train Loss=1.0070, Val Loss=1.1969, Train IoU=0.0374, Val IoU=0.0381
Epoch 5: Train Loss=0.9950, Val Loss=1.1742, Train IoU=0.0379, Val IoU=0.0358
Epoch 6: Train Loss=0.9580, Val Loss=1.1850, Train IoU=0.0408, Val IoU=0.0408
Epoch 7: Train Loss=0.9483, Val Loss=1.1438, Train IoU=0.0443, Val IoU=0.0414
Epoch 8: Train Loss=0.9314, Val Loss=1.0944, Train IoU=0.0458, Val IoU=0.0434
Epoch 9: Train Loss=0.9171, Val Loss=1.0777, Train IoU=0.0484, Val IoU=0.0498
Epoch 10: Train Loss=0.9200, Val Loss=1.1349, Train IoU=0.0500, Val IoU=0.0504
Epoch 11: Train Loss=0.9077, Val Loss=1.1158, Train IoU=0.0551, Val IoU=0.0463
Epoch 12: Train Loss=0.9023, Val Loss=1.1053, Train IoU=0.0544, Val IoU=0.0511
Epoch 13: Train Loss=0.8895, Val Loss=1.0555, Train IoU=0.0592, Val IoU=0.0597
Epoch 14: Train Loss=0.8784, Val Loss=1.0698, Train IoU=0.0635, Val IoU=0.0508
Epoch 15: Train Loss=0.8754, Val Loss=1.1276, Train IoU=0.0604, Val IoU=0.0630
Epoch 16: Train Loss=0.8542, Val Loss=1.0129, Train IoU=0.0677, Val IoU=0.0681
Epoch 17: Train Loss=0.8587, Val Loss=1.1125, Train IoU=0.0698, Val IoU=0.0653
Epoch 18: Train Loss=0.8486, Val Loss=1.0268, Train IoU=0.0728, Val IoU=0.0614
Epoch 19: Train Loss=0.8525, Val Loss=1.0007, Train IoU=0.0742, Val IoU=0.0745
Epoch 20: Train Loss=0.8351, Val Loss=1.0336, Train IoU=0.0784, Val IoU=0.0630
Epoch 21: Train Loss=0.8328, Val Loss=0.9983, Train IoU=0.0815, Val IoU=0.0737
Epoch 22: Train Loss=0.8327, Val Loss=0.9748, Train IoU=0.0824, Val IoU=0.0814
Epoch 23: Train Loss=0.8174, Val Loss=1.0078, Train IoU=0.0836, Val IoU=0.0773
Epoch 24: Train Loss=0.8197, Val Loss=1.0629, Train IoU=0.0871, Val IoU=0.0629
Epoch 25: Train Loss=0.8065, Val Loss=0.9489, Train IoU=0.0899, Val IoU=0.0930
Epoch 26: Train Loss=0.7992, Val Loss=0.9420, Train IoU=0.0951, Val IoU=0.1005
Epoch 27: Train Loss=0.8030, Val Loss=0.9977, Train IoU=0.0993, Val IoU=0.0764
Epoch 28: Train Loss=0.7979, Val Loss=0.9624, Train IoU=0.0995, Val IoU=0.0843
Epoch 29: Train Loss=0.7890, Val Loss=0.9238, Train IoU=0.1055, Val IoU=0.1060
Epoch 30: Train Loss=0.7741, Val Loss=0.9429, Train IoU=0.1111, Val IoU=0.0991
Epoch 31: Train Loss=0.7670, Val Loss=1.0111, Train IoU=0.1213, Val IoU=0.0742
Epoch 32: Train Loss=0.7758, Val Loss=0.9275, Train IoU=0.1149, Val IoU=0.1060
Epoch 33: Train Loss=0.7623, Val Loss=0.9052, Train IoU=0.1228, Val IoU=0.1171
Epoch 34: Train Loss=0.7592, Val Loss=0.8917, Train IoU=0.1256, Val IoU=0.1134
