Best Validation IoU: 0.2571
Total Training Time: 1094.10 seconds
Epoch 1: Train Loss=2.2975, Val Loss=1.2909, Train IoU=0.0356, Val IoU=0.0352
Epoch 2: Train Loss=1.9829, Val Loss=1.2615, Train IoU=0.0373, Val IoU=0.0493
Epoch 3: Train Loss=1.9011, Val Loss=1.3241, Train IoU=0.0430, Val IoU=0.0460
Epoch 4: Train Loss=1.8612, Val Loss=1.3544, Train IoU=0.0436, Val IoU=0.0458
Epoch 5: Train Loss=1.8073, Val Loss=1.2104, Train IoU=0.0482, Val IoU=0.0459
Epoch 6: Train Loss=1.7821, Val Loss=1.1786, Train IoU=0.0509, Val IoU=0.0546
Epoch 7: Train Loss=1.7310, Val Loss=1.2718, Train IoU=0.0539, Val IoU=0.0497
Epoch 8: Train Loss=1.7350, Val Loss=1.2757, Train IoU=0.0558, Val IoU=0.0606
Epoch 9: Train Loss=1.6897, Val Loss=1.2123, Train IoU=0.0582, Val IoU=0.0466
Epoch 10: Train Loss=1.6467, Val Loss=1.1475, Train IoU=0.0612, Val IoU=0.0581
Epoch 11: Train Loss=1.6374, Val Loss=1.1055, Train IoU=0.0670, Val IoU=0.0626
Epoch 12: Train Loss=1.6262, Val Loss=1.1005, Train IoU=0.0666, Val IoU=0.0662
Epoch 13: Train Loss=1.5972, Val Loss=1.1359, Train IoU=0.0661, Val IoU=0.0648
Epoch 14: Train Loss=1.5845, Val Loss=1.0513, Train IoU=0.0673, Val IoU=0.0664
Epoch 15: Train Loss=1.5731, Val Loss=1.2093, Train IoU=0.0718, Val IoU=0.0650
Epoch 16: Train Loss=1.5338, Val Loss=1.1222, Train IoU=0.0809, Val IoU=0.0671
Epoch 17: Train Loss=1.5606, Val Loss=1.0403, Train IoU=0.0782, Val IoU=0.0899
Epoch 18: Train Loss=1.5273, Val Loss=1.0435, Train IoU=0.0803, Val IoU=0.0736
Epoch 19: Train Loss=1.4904, Val Loss=1.0517, Train IoU=0.0853, Val IoU=0.0964
Epoch 20: Train Loss=1.4677, Val Loss=1.0728, Train IoU=0.0915, Val IoU=0.0912
Epoch 21: Train Loss=1.4371, Val Loss=1.0460, Train IoU=0.0915, Val IoU=0.0922
Epoch 22: Train Loss=1.4306, Val Loss=0.9909, Train IoU=0.0945, Val IoU=0.0963
Epoch 23: Train Loss=1.4044, Val Loss=1.0605, Train IoU=0.1017, Val IoU=0.0963
