Best validation IoU: 0.1699
Total training time: 1325.61 seconds
Epoch 1: Train Loss=1.4069, Val Loss=1.2453, Train IoU=0.0356, Val IoU=0.0349
Epoch 2: Train Loss=1.2428, Val Loss=1.2046, Train IoU=0.0359, Val IoU=0.0371
Epoch 3: Train Loss=1.2323, Val Loss=1.1730, Train IoU=0.0358, Val IoU=0.0349
Epoch 4: Train Loss=1.2205, Val Loss=1.1822, Train IoU=0.0363, Val IoU=0.0349
Epoch 5: Train Loss=1.2088, Val Loss=1.1764, Train IoU=0.0364, Val IoU=0.0391
Epoch 6: Train Loss=1.1905, Val Loss=1.2097, Train IoU=0.0388, Val IoU=0.0404
Epoch 7: Train Loss=1.1883, Val Loss=1.1522, Train IoU=0.0398, Val IoU=0.0352
Epoch 8: Train Loss=1.1755, Val Loss=1.1438, Train IoU=0.0397, Val IoU=0.0427
Epoch 9: Train Loss=1.1635, Val Loss=1.1825, Train IoU=0.0416, Val IoU=0.0437
Epoch 10: Train Loss=1.1493, Val Loss=1.1328, Train IoU=0.0429, Val IoU=0.0366
Epoch 11: Train Loss=1.1514, Val Loss=1.1133, Train IoU=0.0433, Val IoU=0.0398
Epoch 12: Train Loss=1.1378, Val Loss=1.0969, Train IoU=0.0459, Val IoU=0.0496
Epoch 13: Train Loss=1.1309, Val Loss=1.0968, Train IoU=0.0487, Val IoU=0.0436
Epoch 14: Train Loss=1.1174, Val Loss=1.1009, Train IoU=0.0466, Val IoU=0.0408
Epoch 15: Train Loss=1.1146, Val Loss=1.1090, Train IoU=0.0504, Val IoU=0.0377
Epoch 16: Train Loss=1.1197, Val Loss=1.0753, Train IoU=0.0507, Val IoU=0.0458
Epoch 17: Train Loss=1.1091, Val Loss=1.0706, Train IoU=0.0528, Val IoU=0.0541
Epoch 18: Train Loss=1.1076, Val Loss=1.1077, Train IoU=0.0509, Val IoU=0.0491
Epoch 19: Train Loss=1.0974, Val Loss=1.0828, Train IoU=0.0544, Val IoU=0.0630
Epoch 20: Train Loss=1.0979, Val Loss=1.1096, Train IoU=0.0563, Val IoU=0.0464
Epoch 21: Train Loss=1.0898, Val Loss=1.0314, Train IoU=0.0555, Val IoU=0.0539
Epoch 22: Train Loss=1.0875, Val Loss=1.0454, Train IoU=0.0566, Val IoU=0.0711
Epoch 23: Train Loss=1.0818, Val Loss=1.0290, Train IoU=0.0567, Val IoU=0.0618
Epoch 24: Train Loss=1.0679, Val Loss=1.0429, Train IoU=0.0604, Val IoU=0.0602
Epoch 25: Train Loss=1.0701, Val Loss=1.0324, Train IoU=0.0594, Val IoU=0.0655
Epoch 26: Train Loss=1.0616, Val Loss=1.0357, Train IoU=0.0649, Val IoU=0.0646
Epoch 27: Train Loss=1.0507, Val Loss=1.0239, Train IoU=0.0643, Val IoU=0.0547
Epoch 28: Train Loss=1.0487, Val Loss=1.0205, Train IoU=0.0647, Val IoU=0.0738
Epoch 29: Train Loss=1.0516, Val Loss=0.9986, Train IoU=0.0663, Val IoU=0.0688
Epoch 30: Train Loss=1.0520, Val Loss=1.0276, Train IoU=0.0661, Val IoU=0.0575
